DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
22-04-2019,1488.849976,394.5,154.699997,310.049988,587.650024,578.799988,1953.900024,2991.25,1356.699951,1332.717163
23-04-2019,1468.75,396.5,169.75,305.25,584.150024,577.599976,1934.699951,3035.050049,1355.349976,1351.043457
24-04-2019,1472.599976,401.100006,171.149994,310.75,582.75,577,1980.400024,3093.050049,1366.75,1376.452637
25-04-2019,1483.650024,395.399994,169.75,306.200012,572.200012,571.450012,1955.150024,3081,1360.400024,1359.513184
26-04-2019,1481.800049,407.200012,167.449997,312.5,580.400024,564.150024,1977.400024,3096.850098,1379.25,1379.721558
30-04-2019,1517,407.5,153.350006,309.950012,577.150024,561.150024,1995.050049,3095.949951,1386.550049,1379.721558
02-05-2019,1540.449951,395.549988,134.25,308.149994,576.5,571.099976,2017.400024,3131.75,1406.349976,1391.856567
03-05-2019,1577.699951,401.799988,135.5,310,556.5,552,2006.400024,3111.850098,1417.800049,1395.62085
06-05-2019,1561.199951,401.299988,133.399994,308.75,605.200012,563.799988,1965.449951,3034.300049,1410.400024,1371.895752
07-05-2019,1576.75,386.5,127.300003,305.450012,596,567.650024,1966.300049,3017.050049,1408.150024,1330.884521
08-05-2019,1574.449951,382.200012,131.350006,298.25,590.25,559,1930.75,2921.300049,1402.199951,1287.248169
09-05-2019,1536.800049,381.399994,147.399994,299.299988,589,553.049988,1914.599976,2971.350098,1385.5,1244.651978
10-05-2019,1536.300049,385.100006,151.75,308.049988,590,557.849976,1931.699951,2922.850098,1398.150024,1239.401733
13-05-2019,1556.650024,376.299988,139.100006,306.899994,574.900024,545.450012,1952.900024,2931.850098,1389.349976,1220.481079
14-05-2019,1564.25,380.399994,128.899994,314.649994,574.099976,549.400024,1965.199951,2881.850098,1382.949951,1248.61438
15-05-2019,1610.349976,377.049988,123.449997,312.100006,556.799988,549.950012,1944.949951,3002.75,1395.800049,1245.097778
16-05-2019,1464.900024,382.5,126.650002,315.75,603.599976,540.400024,1942.099976,3110.050049,1413.150024,1253.468384
17-05-2019,1473.75,389.700012,124.449997,319.25,619.75,553.049988,1993.650024,3301.100098,1460,1255.499146
20-05-2019,1454.949951,407.700012,131.399994,344.700012,609.450012,555.200012,2122.5,3407.550049,1502.550049,1313.449829
21-05-2019,1477.050049,400.149994,150.850006,337.549988,616.400024,544.450012,2114.5,3433.300049,1487.900024,1327.219238
22-05-2019,1509.099976,405.350006,157.5,341.100006,622.5,534.349976,2138.800049,3448.899902,1495.25,1327.813599
23-05-2019,1543.900024,410.850006,155.449997,342.200012,616.349976,531.200012,2114.399902,3377.75,1499.75,1321.374634
24-05-2019,1621.75,431.75,148.149994,355.350006,628.349976,550.049988,2123.399902,3467.899902,1511.699951,1324.296997
27-05-2019,1662.150024,435.5,152,361.700012,635.849976,552.950012,2165.300049,3449,1529.400024,1298.343018
28-05-2019,1657.449951,434.299988,152.600006,360.049988,645.400024,554.650024,2147.850098,3409.800049,1511,1311.319946
29-05-2019,1640.449951,423.299988,148,348.649994,635.150024,545.299988,2147.449951,3409.25,1513.900024,1300.720459
30-05-2019,1644.050049,426.200012,150.949997,353.549988,633.049988,549.450012,2184.399902,3481.649902,1535.349976,1317.263672
31-05-2019,1676.300049,423.700012,146.199997,352.5,631.099976,541,2182.649902,3467.100098,1522.150024,1317.659912
03-06-2019,1691.349976,422.899994,141.100006,355.450012,630.650024,540.5,2230.449951,3511.050049,1531.25,1347.427734
04-06-2019,1686.300049,419.100006,141.149994,352.399994,630.950012,537.599976,2223.949951,3531.149902,1531.349976,1338.958008
06-06-2019,1670.849976,411.549988,133.100006,336.899994,624,529.349976,2183.449951,3452.949951,1514.25,1314.88623
07-06-2019,1661.199951,416.600006,125.449997,342.049988,628.549988,524.799988,2210.850098,3509.449951,1511.800049,1302.553101
10-06-2019,1657.5,416.100006,124.800003,344.299988,627.25,505.299988,2194.050049,3519.600098,1502.599976,1306.763184
11-06-2019,1675.900024,421.350006,112.349998,347.100006,636.799988,506.100006,2189.850098,3551.850098,1507.699951,1316.669312
12-06-2019,1650.949951,418,110.300003,344,627.299988,491.450012,2181.949951,3505.850098,1483.5,1319.641113
13-06-2019,1676.150024,419.600006,91.900002,346.5,631.349976,490.350006,2197.5,3544.5,1504,1314.787109
14-06-2019,1645.900024,417.75,81.650002,343.799988,628,493.549988,2185.850098,3518.399902,1473.849976,1305.178223
17-06-2019,1642.550049,414.200012,68.400002,337.850006,622.049988,499.950012,2173,3466.5,1460.349976,1270.259155
18-06-2019,1662.650024,422.149994,40.5,340.049988,621.5,500.549988,2153,3509.300049,1461.849976,1268.971436
19-06-2019,1609.150024,419.799988,33.099998,338.850006,610,500.049988,2175.399902,3525.5,1497.800049,1265.355713
20-06-2019,1582.25,433.399994,62.849998,345.149994,616.099976,497.799988,2199.25,3582.550049,1518.349976,1284.573486
21-06-2019,1552.099976,430.799988,72.599998,349.399994,607.549988,486.799988,2140.800049,3565.850098,1489.800049,1267.485474
24-06-2019,1555.050049,429.450012,73.150002,353.200012,611.400024,479.100006,2148.899902,3545.350098,1470.599976,1250.546021
25-06-2019,1603.449951,433.649994,73.599998,356.549988,615.799988,486.049988,2172.800049,3579.850098,1483.900024,1283.682007
